127,E 111TH ST AND AVENUE O,111TH ST AND EWING AVE
128,E 111TH ST AND GREEN BAY AVE,111TH ST AND AVENUE O AVE
129,E 111TH ST AND MACKINAW AVE,111TH ST AND GREEN BAY AVE
130,E 112TH ST AND MACKINAW AVE,112TH ST AND GREEN BAY AVE
131,E 113TH ST AND AVENUE N AVE,113TH ST AND AVENUE M AVE
132,E 113TH ST AND GREEN BAY AVE,113TH ST AND AVENUE O AVE
133,E 113TH ST AND MACKINAW AVE,113TH ST AND GREEN BAY AVE
134,E 114TH ST AND AVENUE G,3828 E 114TH ST 
135,E 114TH ST AND GREEN BAY AVE,114TH ST AND AVENUE O AVE
136,E 114TH ST AND MACKINAW AVE,114TH ST AND GREEN BAY AVE
137,E 115TH ST AND AVENUE G,3812 E 115TH ST 
138,2432 E 116TH ST,116TH ST AND TORRENCE AVE
139,E 118TH ST AND AVENUE J,3712 E 118TH ST 
140,E 118TH ST AND EWING AVE,118TH ST AND AVENUE J AVE
141,E 122ND ST AND STONY ISLAND AVE,122ND ST AND TORRENCE AVE
142,E 127TH ST AND COMMERCIAL AVE,127TH ST AND CARONDOLET AVE
143,2900 E 127TH ST,127TH ST AND EXCHANGE AVE
144,E 127TH ST AND EXCHANGE AVE,127TH ST AND COMMERCIAL AVE
145,E 130TH ST AND BUFFALO AVE,130TH ST AND MACKINAW AVE
146,E 130TH ST AND BURLEY AVE,130TH ST AND BUFFALO AVE
147,E 130TH ST AND GREEN BAY AVE,130TH ST AND AVENUE O AVE
148,E 130TH ST AND MACKINAW AVE,130TH ST AND GREEN BAY AVE
149,E 131ST ST AND AVENUE M AVE,3556 E 131ST ST 
150,E 131ST ST AND BUFFALO AVE,131ST ST AND MACKINAW AVE
151,E 133RD ST AND AVENUE L AVE,133RD ST AND AVENUE K AVE
152,E 133RD ST AND AVENUE M AVE,133RD ST AND AVENUE L AVE
153,E 133RD ST AND AVENUE N AVE,133RD ST AND AVENUE M AVE
154,E 133RD ST AND AVENUE O AVE,133RD ST AND AVENUE N AVE
155,E 133RD ST AND GREEN BAY AVE,133RD ST AND AVENUE O AVE
156,E 133RD ST AND MACKINAW AVE,133RD ST AND GREEN BAY AVE
157,E 134TH ST AND AVENUE K AVE,4072 E 134TH ST 
158,E 135TH ST AND AVENUE L AVE,135TH ST AND AVENUE K AVE
159,E 135TH ST AND AVENUE M AVE,135TH ST AND AVENUE L AVE
160,E 135TH ST AND AVENUE N AVE,135TH ST AND AVENUE M AVE
161,E 135TH ST AND AVENUE O AVE,135TH ST AND AVENUE N AVE
162,E 135TH ST AND BALTIMORE AVE,135TH ST AND BRANDON AVE
163,E 135TH ST AND BUFFALO AVE,135TH ST AND MACKINAW AVE
164,E 135TH ST AND GREEN BAY AVE,135TH ST AND AVENUE O AVE
165,E 135TH ST AND MACKINAW AVE,135TH ST AND GREEN BAY AVE
166,E 136TH ST AND BUFFALO AVE,136TH ST AND MACKINAW AVE
167,E 136TH ST AND MACKINAW AVE,136TH ST AND GREEN BAY AVE
168,E 88TH ST AND BUFFALO AVE,88TH ST AND MACKINAW AVE
169,E 88TH ST AND BURLEY AVE,88TH ST AND BUFFALO AVE
170,E 90TH ST AND ESCANABA AVE,90TH ST AND EXCHANGE AVE
171,E 90TH ST AND MUSKEGON AVE,90TH ST AND ESCANABA AVE
172,E 97TH ST AND HOUSTON AVE,97TH ST AND BALTIMORE AVE
173,E 99TH ST AND COMMERCIAL AVE,99TH ST AND HOUSTON AVE
174,13200 S AVENUE L,S AVENUE L AND 133RD ST
175,13037 S AVENUE M AVE,S AVENUE M AVE AND 131ST ST
176,S AVENUE S AVE AND 100TH ST,S AVENUE S AVE AND 101ST ST
177,S AVENUE S AVE AND 102ND ST,S AVENUE S AVE AND 103RD ST
178,S AVENUE S AVE AND 116TH ST,S AVENUE S AVE AND 117TH ST
179,S AVENUE S AVE AND CHICAGO SKYWAY,S AVENUE S AVE AND 100TH ST
180,S BALTIMORE AVE AND 95TH ST,S BALTIMORE AVE AND CHICAGO SKYWAY
181,S BALTIMORE AVE AND 96TH ST,S BALTIMORE AVE AND 97TH ST
